country_code,year,NE.CON.PRVT.PC.KD,NY.GDP.PCAP.KD
AFW,1975,NA,1506.73080245906
AFW,1976,NA,1593.07942880718
AFW,1977,NA,1624.11036108951
AFW,1978,NA,1544.52485858656
AFW,1979,NA,1580.45732697282
AFW,1980,NA,1567.67967780063
AFW,1981,1015.37527351495,1417.78247342611
AFW,1982,906.880848486046,1331.35113348447
AFW,1983,726.408510241607,1210.97903116822
AFW,1984,739.308219104078,1186.56952532202
AFW,1985,843.008986500457,1219.48276396532
AFW,1986,783.437355613314,1203.97127214643
AFW,1987,731.10204520127,1189.28242481567
AFW,1988,741.481678446674,1213.9484227663
AFW,1989,679.631928584217,1208.07262835179
AFW,1990,769.664879253956,1254.50166745782
AFW,1991,790.033099997142,1236.00698843679
AFW,1992,858.512165888033,1235.74195239124
AFW,1993,793.502151436303,1189.54254427453
AFW,1994,711.663576089341,1155.44673021101
AFW,1995,727.560103990161,1146.65926110569
AFW,1996,824.534121832995,1168.30437384161
AFW,1997,786.704514488616,1185.78233077128
AFW,1998,771.827662302357,1194.76285317307
AFW,1999,721.69495517428,1179.7423775635
AFW,2000,717.310885415939,1191.15597769774
AFW,2001,1002.98484365872,1219.17383691953
AFW,2002,1096.4208264171,1303.68466895517
AFW,2003,1169.89619544171,1338.1181342986
AFW,2004,1148.93566409759,1405.71065293854
AFW,2005,1241.16468409713,1446.87655895216
AFW,2006,1085.6845838564,1482.71312740747
AFW,2007,1332.11707475398,1521.79981991719
AFW,2008,1161.13030419205,1572.857212716
AFW,2009,1311.52101603457,1625.53368936689
AFW,2010,1313.00573332879,1690.63452938271
AFW,2011,1262.00624088338,1723.56361081394
AFW,2012,1251.24495816766,1762.50210608869
AFW,2013,1422.68334550022,1819.90621447038
AFW,2014,1401.31517342933,1876.22494346896
AFW,2015,1400.68664596257,1876.62348318848
AFW,2016,1327.13569548088,1829.13155071614
AFW,2017,1302.00200599004,1821.99636790423
AFW,2018,1328.74191973404,1826.91094862252
AFW,2019,1309.77822938562,1836.82385308313
AFW,2020,1270.26104115557,1773.88682150227
